"NgTBFacilityContactManagementRegister.indexCase.serialNumber","NgTBFacilityContactManagementRegister.indexCase.serialNumber","","","",1,1,"","","","positiveInt {[]} {[]}
","Serial number","Sequential number assigned to the index TB patient within the register.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.serialNumber",1,1,"","","S/N"
"NgTBFacilityContactManagementRegister.indexCase.contactTracingDate","NgTBFacilityContactManagementRegister.indexCase.contactTracingDate","","","",1,1,"","","","date {[]} {[]}
","Date contact tracing conducted","Date contact tracing was conducted for the index TB patient.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contactTracingDate",1,1,"","","Date contact tracing was conducted"
"NgTBFacilityContactManagementRegister.indexCase.subject","NgTBFacilityContactManagementRegister.indexCase.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-patient]]}
","Index patient reference","Reference to the corresponding Nigeria Core Patient resource for the index TB patient, when available.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.subject",0,1,"",""
"NgTBFacilityContactManagementRegister.indexCase.patientName","NgTBFacilityContactManagementRegister.indexCase.patientName","","","",1,1,"","","","string {[]} {[]}
","Name of index TB patient","Full name of the index TB patient.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.patientName",1,1,"","","Name of Index TB Patient / LGATB Reg. No."
"NgTBFacilityContactManagementRegister.indexCase.lgaTbRegistrationNumber","NgTBFacilityContactManagementRegister.indexCase.lgaTbRegistrationNumber","","","",0,1,"","","","string {[]} {[]}
","LGA TB registration number","LGA TB registration number of the index TB patient.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.lgaTbRegistrationNumber",0,1,"","","Name of Index TB Patient / LGATB Reg. No."
"NgTBFacilityContactManagementRegister.indexCase.tbType","NgTBFacilityContactManagementRegister.indexCase.tbType","","","",1,1,"","","","code {[]} {[]}
","Type of TB","Type of TB of the index patient.

Source categories are:
DS-TB;
DR-TB.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.tbType",1,1,"","","Type of TB: DS-TB / DR-TB"
"NgTBFacilityContactManagementRegister.indexCase.contact","NgTBFacilityContactManagementRegister.indexCase.contact","","","",1,*,"","","","BackboneElement {[]} {[]}
","Contact of index TB patient","One contact identified and managed in relation to the index TB patient.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgTBFacilityContactManagementRegister.indexCase.contact.id","NgTBFacilityContactManagementRegister.indexCase.contact.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgTBFacilityContactManagementRegister.indexCase.contact.extension","NgTBFacilityContactManagementRegister.indexCase.contact.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBFacilityContactManagementRegister.indexCase.contact.modifierExtension","NgTBFacilityContactManagementRegister.indexCase.contact.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBFacilityContactManagementRegister.indexCase.contact.subject","NgTBFacilityContactManagementRegister.indexCase.contact.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-patient]]}
","Contact patient reference","Reference to the corresponding Nigeria Core Patient resource for the contact, when available.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.subject",0,1,"",""
"NgTBFacilityContactManagementRegister.indexCase.contact.contactName","NgTBFacilityContactManagementRegister.indexCase.contact.contactName","","","",1,1,"","","","string {[]} {[]}
","Name of contact","Name of the contact of the index TB patient.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.contactName",1,1,"","","Name of Contacts of Index TB Patients"
"NgTBFacilityContactManagementRegister.indexCase.contact.age","NgTBFacilityContactManagementRegister.indexCase.contact.age","","","",1,1,"","","","integer {[]} {[]}
","Age","Age of the contact.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.age",1,1,"","","Age"
"NgTBFacilityContactManagementRegister.indexCase.contact.sex","NgTBFacilityContactManagementRegister.indexCase.contact.sex","","","",1,1,"","","","Coding {[]} {[]}
","Sex","Sex of the contact.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-gender-vs","",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.sex",1,1,"","","Sex"
"NgTBFacilityContactManagementRegister.indexCase.contact.investigation","NgTBFacilityContactManagementRegister.indexCase.contact.investigation","","","",1,1,"","","","BackboneElement {[]} {[]}
","Contact investigation","Screening, diagnostic investigation and actions undertaken for the contact.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.investigation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.id","NgTBFacilityContactManagementRegister.indexCase.contact.investigation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.extension","NgTBFacilityContactManagementRegister.indexCase.contact.investigation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.modifierExtension","NgTBFacilityContactManagementRegister.indexCase.contact.investigation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.screened","NgTBFacilityContactManagementRegister.indexCase.contact.investigation.screened","","","",1,1,"","","","boolean {[]} {[]}
","Contact screened","Indicates whether the contact was screened for TB.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.screened",1,1,"","","Outcome of contact investigation: Contact screened? Yes/No"
"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.testedForTb","NgTBFacilityContactManagementRegister.indexCase.contact.investigation.testedForTb","","","",0,1,"","","","boolean {[]} {[]}
","Contact tested for TB","Indicates whether the contact underwent diagnostic testing for TB.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.testedForTb",0,1,"","","Outcome of contact investigation: Contacts tested for TB? Yes/No"
"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.presumptiveTbIdentified","NgTBFacilityContactManagementRegister.indexCase.contact.investigation.presumptiveTbIdentified","","","",0,1,"","","","boolean {[]} {[]}
","Presumptive TB identified","Indicates whether the contact was identified as a presumptive TB case.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.presumptiveTbIdentified",0,1,"","","Outcome of contact investigation: Presumptive TB identified? Yes/No"
"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.tbDiagnosis","NgTBFacilityContactManagementRegister.indexCase.contact.investigation.tbDiagnosis","","","",0,1,"","","","code {[]} {[]}
","TB diagnosis","TB diagnosis established through contact investigation.

Source categories are:
DS-TB;
DR-TB.

Absence of a value indicates that TB was not recorded as diagnosed.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.tbDiagnosis",0,1,"","","Outcome of contact investigation: TB Diagnosed - DS-TB / DR-TB"
"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.startedTbTreatment","NgTBFacilityContactManagementRegister.indexCase.contact.investigation.startedTbTreatment","","","",0,1,"","","","boolean {[]} {[]}
","TB treatment","Indicates whether the contact diagnosed with TB started TB treatment.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.investigation.startedTbTreatment",0,1,"","","Outcome of contact investigation: TB treatment? Yes/No"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt","NgTBFacilityContactManagementRegister.indexCase.contact.tpt","","","",0,1,"","","","BackboneElement {[]} {[]}
","TB preventive therapy","TB preventive therapy eligibility, initiation, drug collection and outcome.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.tpt",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.id","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.extension","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.modifierExtension","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.eligible","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.eligible","","","",0,1,"","","","boolean {[]} {[]}
","TPT eligible","Indicates whether the contact was eligible for TB preventive therapy.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.eligible",0,1,"","","Outcome of contact investigation: TPT Eligible? Yes/No"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.commenced","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.commenced","","","",0,1,"","","","boolean {[]} {[]}
","Commenced on TPT","Indicates whether the eligible contact commenced TB preventive therapy.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.commenced",0,1,"","","Commenced on TPT: Yes/No"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.regimenType","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.regimenType","","","",0,1,"","","","code {[]} {[]}
","TPT regimen type","Type of TB preventive therapy used.

Source-form regimen types include:
INH = Isoniazid;
3HP = Rifapentine and Isoniazid;
CTX/INH/B6 FDC = Cotrimoxazole/Isoniazid/Pyridoxine fixed-dose combination.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.regimenType",0,1,"","","Commenced on TPT: If yes, Type"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection","","","",0,*,"","","","BackboneElement {[]} {[]}
","TPT drug collection","Monthly TB preventive therapy drug-collection record.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.id","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.extension","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.modifierExtension","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.month","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.month","","","",1,1,"","","","positiveInt {[]} {[]}
","TPT treatment month","Treatment month represented in the source register. Expected values are 1 through 6.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.month",1,1,"","","Months of Treatment: 1 / 2 / 3 / 4 / 5 / 6"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.collectionDate","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.collectionDate","","","",1,1,"","","","date {[]} {[]}
","Drug collection date","Date TPT medication was collected during the specified treatment month.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.drugCollection.collectionDate",1,1,"","","Months of Treatment: Write date of drug collection"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.outcome","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.outcome","","","",0,1,"","","","code {[]} {[]}
","TPT outcome","Final outcome for a contact started on TB preventive therapy.

Source categories are:
Treatment completed;
Loss to follow-up;
Died;
Developed active TB;
Not evaluated.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.outcome",0,1,"","","TPT outcome: Treatment completed / Loss to follow-up / Died / Developed active TB / Not evaluated"
"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.outcomeDate","NgTBFacilityContactManagementRegister.indexCase.contact.tpt.outcomeDate","","","",0,1,"","","","date {[]} {[]}
","TPT outcome date","Date the final TB preventive therapy outcome was assigned.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.tpt.outcomeDate",0,1,"","","TPT outcome: date"
"NgTBFacilityContactManagementRegister.indexCase.contact.remarks","NgTBFacilityContactManagementRegister.indexCase.contact.remarks","","","",0,1,"","","","string {[]} {[]}
","Remarks","Additional remarks regarding contact investigation, diagnosis, TB treatment, preventive therapy or follow-up.","","","","","","","","","",,,,,"",,,,"NgTBFacilityContactManagementRegister.indexCase.contact.remarks",0,1,"","","Remarks"
